actor,year,doc_index,total_risk_mentions,risk_naturhot,risk_biologiska_hot,risk_olyckor,risk_antagonistiska_hot,risk_cyber_hot,risk_sociala_risker,risk_teknisk_infrastruktur,risk_brand,risk_miljö_klimat,risk_ekonomi,sannolikhet_total,sannolikhet_very_low,sannolikhet_low,sannolikhet_medium,sannolikhet_high,sannolikhet_very_high,sannolikhet_change,sannolikhet_uncertainty,sannolikhet_acceptability,sannolikhet_UNKNOWN,konsekvens_total,konsekvens_very_low,konsekvens_low,konsekvens_medium,konsekvens_high,konsekvens_very_high,konsekvens_change,konsekvens_uncertainty,konsekvens_acceptability,konsekvens_UNKNOWN,risk_total,risk_very_low,risk_low,risk_medium,risk_high,risk_very_high,risk_change,risk_uncertainty,risk_acceptability,risk_UNKNOWN
kommun,2019,385,9,0,8,0,1,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0,5,10,0,0,0,3,0,0,0,0,7,19,0,0,0,0,0,0,0,0,19
kommun,2023,386,99,22,8,5,10,2,5,25,13,9,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,2,1,0,0,5,18,0,0,0,0,0,5,0,0,13
kommun,2019,387,11,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,4,10,0,0,0,1,0,0,0,0,9
kommun,2015,388,199,55,50,22,6,0,2,39,4,21,0,50,2,2,4,20,1,1,1,0,19,52,1,5,1,8,2,0,0,0,35,38,0,2,0,2,0,4,0,0,30
kommun,2015,389,15,0,5,0,0,0,1,8,1,0,0,10,1,0,2,1,1,0,0,0,5,4,0,0,0,0,0,0,0,0,4,10,1,0,0,1,2,0,0,0,6
kommun,2019,390,70,16,7,10,2,0,3,15,6,11,0,6,1,1,1,1,0,0,0,0,2,7,0,0,0,3,0,0,0,0,4,18,0,0,0,1,0,4,0,0,13
kommun,2023,391,339,136,35,30,38,5,10,54,26,5,0,24,1,3,2,2,1,4,0,0,11,42,0,0,0,15,3,0,1,0,23,73,0,2,2,5,0,11,1,1,51
kommun,2023,392,162,45,25,12,18,2,6,33,15,5,1,39,2,6,8,5,2,2,2,0,12,46,0,4,0,15,14,2,0,0,11,90,1,2,0,4,2,7,4,0,70
kommun,2023,393,110,32,21,9,7,3,8,11,8,8,3,5,0,0,0,0,1,1,0,0,3,21,0,0,0,4,0,1,2,0,14,26,0,0,0,3,0,3,1,0,19
kommun,2015,394,41,1,9,0,15,0,0,6,6,4,0,14,0,1,2,2,2,0,1,0,6,15,0,0,1,1,0,0,0,0,13,32,0,0,1,6,0,2,1,0,22
kommun,2023,395,33,7,5,5,1,0,1,8,5,1,0,4,0,0,0,0,0,0,0,0,4,8,0,0,2,1,0,0,0,0,5,22,0,0,1,0,0,1,0,0,20
kommun,2016,396,67,4,4,15,5,0,1,25,11,2,0,11,0,0,0,1,1,0,0,0,9,20,1,1,0,1,2,0,0,0,15,21,0,0,1,0,0,1,0,0,19
kommun,2019,397,143,58,27,8,12,1,3,21,9,3,1,16,1,4,2,1,3,0,0,0,5,23,0,0,0,12,2,0,0,0,9,26,0,0,1,3,1,10,0,0,11
kommun,2015,398,45,14,16,0,0,0,5,2,0,8,0,12,1,2,0,3,0,0,0,0,6,14,0,0,0,10,0,0,0,0,4,32,0,0,0,1,0,3,1,0,27
kommun,2023,399,144,29,25,20,7,0,3,31,24,5,0,63,22,0,1,1,18,3,0,0,18,35,1,0,0,21,6,0,0,0,7,31,0,0,0,2,0,4,1,0,24
kommun,2015,400,45,15,6,2,0,0,1,16,3,2,0,4,0,1,0,0,0,0,0,0,3,7,0,0,0,2,0,0,0,0,5,22,0,0,0,2,0,2,1,0,17
kommun,2015,401,24,8,3,4,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,5,19,0,0,0,1,0,1,1,0,16
kommun,2021,402,233,51,53,14,24,2,16,32,27,10,4,6,0,0,0,0,2,3,0,0,1,38,0,0,1,14,0,1,0,0,22,36,0,0,0,1,0,7,0,0,28
kommun,2019,403,55,17,14,4,3,1,2,10,3,1,0,20,2,9,1,2,0,1,1,0,4,10,0,1,0,0,0,0,1,0,8,34,1,0,0,0,0,2,5,1,25
kommun,2023,404,95,35,12,2,14,0,11,12,7,2,0,15,1,1,0,1,0,2,0,0,10,58,0,1,0,11,3,0,0,0,43,34,1,0,0,3,0,1,1,0,28
kommun,2016,405,65,17,11,5,3,0,1,16,7,4,1,12,1,1,1,2,1,0,0,0,6,7,1,0,1,1,0,0,0,0,4,23,0,1,0,2,1,0,0,0,19
kommun,2019,406,65,18,15,2,0,0,0,19,5,6,0,7,0,0,1,1,0,0,1,0,4,9,0,0,0,1,0,0,0,0,8,25,0,0,0,4,0,0,1,0,20
